f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y,noise,time
64.7243179762479,-116.93213809727041,33.8494680822496,-117.69979681060785,131.13120172271277,,-142.75552872841587,,,,-187.78587741859414,10,_2022_0505_0348_00
,,-56.024559273081046,160.2591263249189,-7.094076843771749,-209.8716714259635,71.57501332453616,,12.69072769998934,,133.11535642855557,10,_2022_0505_0348_00
115.62060103715419,184.07889474093307,132.17773360276027,-14.866083513960666,43.13917556255251,-44.9696796778851,-3.996920723726966,,-5.2807088894259655,,54.42354917726425,10,_2022_0505_0348_00
68.69265524180157,-156.72053989604672,62.91485240257641,,-11.966460268863626,-59.93866620474995,-31.959301860704187,,-32.93043555900391,43.16026897204172,43.14022527127235,10,_2022_0505_0348_00
-3.8914172952519457,60.37797011413315,73.67655719884563,85.29400384311954,,-60.2340549607886,62.316828956359856,,,-141.10499245328333,126.87757870659583,10,_2022_0505_0348_00
118.3098089559681,-99.1512560928418,,-26.47187059193871,-84.38734486415359,61.661583513773365,2.1951993172944757,,143.57362149648657,,76.51140126864726,10,_2022_0505_0348_00
,-216.67144781711175,-106.79496596826574,-90.26068607653256,-126.88954908741871,46.746385159343696,77.28749008720864,,47.52089805737361,,133.63403031354636,10,_2022_0505_0348_00
29.644274648342638,61.45726643264132,,139.28586116528194,-25.599714073981524,,,161.61654496328248,48.36244024658025,-121.60897012259704,45.07670012727179,10,_2022_0505_0348_00
-209.65920482201022,-209.7650543865658,-44.766142360897845,40.77995712942716,-45.41794636645231,158.6894272325207,3.498060212741643,3.1021406050118574,133.2051410656488,26.11280867107741,-50.36457224702382,10,_2022_0505_0348_00
-82.76681098480132,46.774807330329786,,,38.1957609935214,,45.25595307374593,-34.130856634019196,39.80469590394108,-12.267296685006075,7.428309505915104,10,_2022_0505_0348_00
,-121.39472553438337,141.55345666109915,-48.414023476052606,-103.33370106844883,-131.06508266860953,-24.283512620050935,,112.45178386464747,144.26765859543264,55.78391376122009,10,_2022_0505_0348_00
-120.24599393456594,100.9437671416934,40.12015009895755,180.44727306391144,-110.31813473936813,-102.29411653484573,-1.812211385436479,,-23.958160327881135,-48.93778748829392,-72.69927589944717,10,_2022_0505_0348_00
-91.30172503879021,55.15314884757603,,-183.08941740722565,,-42.3377022611669,-74.5686291990455,12.349565343124148,58.4639504186709,40.10000937795475,-144.6847910560134,10,_2022_0505_0348_00
,-10.266902126125704,,29.660983950186964,45.53844542038357,8.991304179695168,-104.15982239424615,16.474013585659737,26.684860024398233,-31.070543195445556,-53.179627618841614,10,_2022_0505_0348_00
-191.419885412009,,-111.05974600798774,111.44719523953958,10.313107171854455,31.731365186521792,67.46345755868387,-161.76777175612094,-29.333886866339142,78.59043611598089,-98.47425017804514,10,_2022_0505_0348_00
,,-23.737997636563886,75.6659017953576,,-61.878312496081755,128.23741225470854,40.051303036274604,-106.5135087340433,,51.44624125829106,10,_2022_0505_0348_00
,-37.4926897788155,,-62.12771108786945,142.37914707059863,172.892604553306,99.35355869840564,-75.90505371709104,-82.06804784610931,-149.124074697794,-65.84616044687007,10,_2022_0505_0348_00
64.47627449517893,135.38877629804685,-106.52013973520734,,,,-23.631878541350897,-7.6542344762340315,152.51580337894436,111.54506387170548,63.917554681863905,10,_2022_0505_0348_00
,-114.6836563757222,,-10.190483038207258,59.91583374407651,32.461378817688775,91.43078173926469,,222.33434215024687,,173.71428396396874,10,_2022_0505_0348_00
