,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
0,,20.71422799154023,-56.491928886197066,22.80584858342619,8.139466178350494,1.1558373852137187,-91.07351478460505,,,101.04218652089196,94.26870447931528
1,133.57918293927955,10.438255517192069,-141.74703183269662,,,-8.984762635798164,120.59272618541648,5.666539094951661,-6.58760594087063,109.47879991442908,-108.86747834936779
2,,213.89332771871702,11.761557723458186,167.56396813848255,-1.9111089511043444,-59.138749023863234,-151.43720716107393,-151.60243586822014,-105.80369906400261,,-44.17553208816232
3,,-8.76007174966128,-131.02316762196494,97.6563610911318,,15.995622967303772,42.655171629995756,-89.95274687702087,,-19.15308644108142,-100.40081397259344
4,-56.516885379967576,-3.7786653867829743,-67.29432173102168,22.574928900824524,125.22765911766997,,,168.50303803101306,-64.76240367711965,,231.25240317625088
5,124.3652653896796,-221.9126547959076,-44.34185197805002,,57.31647262413367,-14.35825116752093,24.193109963008926,,-79.43796610696947,-272.1174881990544,-54.12830416675902
6,,-36.40344725244284,83.30545503307111,78.00644926149212,-211.33842274210735,-173.89970788564614,,-76.69007903240258,,47.423694617921356,-180.70891915669787
7,-199.07512070377373,,,-15.92823452153478,-60.28370910650113,45.35017977391755,74.6742635462556,,-96.9933246350601,175.0690824430761,48.38496626876706
8,3.7115398512167346,-37.28977210157971,7.565229967168411,,,-68.22441724613022,,-65.07548328035358,-50.76737618672039,-17.59281294583697,-80.45280339515271
9,-13.504856772316726,109.20479199621522,,-135.87956165459494,-116.84870058921746,32.53383945562952,,,10.866865598199785,2.0242566736394783,-106.06354362896002
10,-59.402134989631314,108.91091324247289,-61.07591187120792,-177.82492947330303,-15.920144001728778,108.97818977253955,-125.85389749793217,-88.77597294379188,-55.512526197395985,15.668164818749993,-95.20489536246924
11,109.1702364014733,94.97237264028452,128.87972317666478,-3.0955961478878686,-208.62074325941248,,-63.569378871428974,,,,-275.1293537592767
12,80.27294565847876,-268.62175096264036,-72.7404186591104,138.60855291862828,-48.267163828491526,,52.427830769343174,-7.02145758588202,18.8689705015466,,-104.94602316133322
